time,open,low,close,volume
2014-11-27T08:00:00+08:00,72.0,70.0,70.75,1476970.0
2014-11-28T08:00:00+08:00,72.0,70.5,72.5,1593400.0
2014-12-01T08:00:00+08:00,72.75,71.85,72.0,491860.0
2014-12-02T08:00:00+08:00,71.8,71.5,73.0,1007860.0
2014-12-03T08:00:00+08:00,73.0,73.0,73.4,1200550.0
2014-12-04T08:00:00+08:00,73.5,72.95,72.95,1248860.0
2014-12-05T08:00:00+08:00,72.95,70.15,72.2,1905830.0
2014-12-09T08:00:00+08:00,71.6,71.6,72.5,1575850.0
2014-12-10T08:00:00+08:00,72.5,70.45,72.25,670950.0
2014-12-11T08:00:00+08:00,72.6,70.8,71.0,788420.0
2014-12-12T08:00:00+08:00,71.5,71.5,76.2,2523110.0
2014-12-15T08:00:00+08:00,76.0,75.6,77.5,1723100.0
2014-12-16T08:00:00+08:00,78.0,77.4,77.5,1661020.0
2014-12-17T08:00:00+08:00,77.5,76.25,76.55,1703930.0
2014-12-18T08:00:00+08:00,77.0,76.3,78.0,767470.0
2014-12-19T08:00:00+08:00,78.1,76.5,77.7,1205240.0
2014-12-22T08:00:00+08:00,77.5,75.0,75.5,1379150.0
2014-12-23T08:00:00+08:00,75.5,75.5,75.5,531730.0
2014-12-29T08:00:00+08:00,75.6,75.5,75.7,655770.0
2015-01-05T08:00:00+08:00,75.0,75.0,78.1,1289970.0
2015-01-06T08:00:00+08:00,77.8,77.25,77.8,1694870.0
2015-01-07T08:00:00+08:00,78.25,77.9,77.95,968250.0
2015-01-08T08:00:00+08:00,77.8,77.8,78.0,2449030.0
2015-01-09T08:00:00+08:00,77.95,77.95,78.0,914370.0
2015-01-12T08:00:00+08:00,78.1,78.0,78.25,359230.0
2015-01-13T08:00:00+08:00,78.0,77.75,78.0,855240.0
2015-01-14T08:00:00+08:00,78.05,78.0,80.0,1005650.0
2015-01-19T08:00:00+08:00,80.0,77.3,77.3,587640.0
2015-01-20T08:00:00+08:00,77.4,77.4,77.5,1219910.0
2015-01-21T08:00:00+08:00,77.6,76.5,77.0,308500.0
2015-01-22T08:00:00+08:00,77.0,74.5,75.3,2764080.0
2015-01-23T08:00:00+08:00,76.0,76.0,77.35,2158970.0
2015-01-26T08:00:00+08:00,77.35,77.35,79.0,1816140.0
2015-01-27T08:00:00+08:00,79.0,79.0,79.6,688770.0
2015-01-28T08:00:00+08:00,80.0,78.7,80.0,646700.0
2015-01-29T08:00:00+08:00,80.0,79.0,80.1,1884250.0
2015-01-30T08:00:00+08:00,79.9,78.8,79.2,1172820.0
2015-02-02T08:00:00+08:00,79.2,79.0,79.0,1851660.0
2015-02-03T08:00:00+08:00,78.0,77.8,78.0,988870.0
2015-02-04T08:00:00+08:00,78.8,77.5,77.8,708390.0
2015-02-05T08:00:00+08:00,78.0,77.6,81.2,1632120.0
2015-02-06T08:00:00+08:00,81.2,80.0,81.0,409490.0
2015-02-09T08:00:00+08:00,81.05,80.2,83.0,1016070.0
2015-02-10T08:00:00+08:00,83.5,83.5,84.0,3702120.0
2015-02-11T08:00:00+08:00,84.0,83.8,84.2,1279140.0
2015-02-12T08:00:00+08:00,84.5,83.5,84.5,2795770.0
2015-02-13T08:00:00+08:00,84.0,84.0,85.6,3970690.0
2015-02-16T08:00:00+08:00,85.6,84.0,84.0,1279220.0
2015-02-17T08:00:00+08:00,84.5,84.0,84.3,839270.0
2015-02-18T08:00:00+08:00,84.3,84.3,87.6,2327920.0
2015-02-20T08:00:00+08:00,87.6,87.45,87.5,2077820.0
2015-02-23T08:00:00+08:00,87.5,85.0,85.2,221230.0
2015-02-24T08:00:00+08:00,85.0,85.0,85.85,2274890.0
2015-02-25T08:00:00+08:00,85.85,83.7,83.85,1118990.0
2015-02-26T08:00:00+08:00,83.9,81.3,82.0,2188750.0
2015-02-27T08:00:00+08:00,82.0,81.5,85.0,1312950.0
